,event,gid,layer,cell,x,y,r,phi,trackIndex,centerX,centerY,radius,momx,momy,momz,chargeParticle,flightLength,currentTrackPID,rawDriftTime,creatorProcessturnID,isScondary
44,1,3,0,3,7.304035,2.05995,7.5889604876903265,0.2748892409811548,8,96.117,-384.616,396.081,1157.31,265.723,-893.839,1,99.863,211,101.321,Decay,0
0,1,23,0,23,-7.304035,-2.0599499999999997,7.5889604876903265,-2.8667034126086386,9,-51.8726,247.739,253.33,-747.646,-133.458,206.975,-1,80.6067,-211,197.285,Decay,0
104,1,28,0,28,-3.70813,-6.62134,7.5889637957036005,-2.081305297391083,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,659.741,,-9999
105,1,29,0,29,-2.62667,-7.119895,7.588959091991799,-1.924225754933996,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,52.5892,,-9999
106,1,30,0,30,-1.480535,-7.44314,7.588960201887014,-1.7671461780570965,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,25.9961,,-9999
107,1,31,0,31,-0.29794,-7.58311,7.588960766514741,-1.610066076521047,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,343.118,,-9999
45,1,43,1,3,8.648625,1.560382,8.78825957607927,0.17849940022083244,8,98.3535,-384.106,396.088,1156.54,269.123,-893.807,1,115.258,211,524.373,Decay,0
1,1,65,1,25,-8.648625,-1.560382,8.78825957607927,-2.9630932533689607,9,-51.9342,247.727,253.328,-748.263,-129.922,206.977,-1,98.5993,-211,27.0484,Decay,0
120,1,79,1,39,5.012145,-7.218859999999999,8.78826132978674,-0.9638976595028707,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,40.1892,,-9999
46,1,87,2,3,9.759409999999999,2.275575,10.021193797583448,0.22907443986596482,8,100.792,-383.539,396.092,1155.72,272.706,-893.785,1,131.199,211,79.0027,Decay,0
2,1,111,2,27,-9.759409999999999,-2.275574999999997,10.021193797583448,-2.912518213723829,9,-51.9077,247.733,253.33,-748.887,-126.306,206.952,-1,111.789,-211,116.334,Decay,0
118,1,132,3,0,11.08635,-2.205215,11.3035449978635,-0.196349790385318,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1273.79,,-9999
119,1,133,3,1,11.26355,-0.95007,11.303547744288075,-0.08414988121874674,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1375.25,,-9999
47,1,136,3,4,10.9453,2.8233610000000002,11.30358170786238,0.25244869431842476,8,103.268,-382.954,396.096,1154.86,276.336,-893.768,1,146.368,211,30.37,Decay,0
3,1,163,3,31,-11.192599999999999,-1.580129,11.303588032861112,-3.0013432861382006,9,-52.0101,247.712,253.325,-749.477,-122.678,206.993,-1,124.354,-211,160.14,Decay,0
125,1,187,3,55,10.7697,-3.432625,11.30351062637732,-0.3085503634351604,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1295.62,,-9999
5,1,219,4,31,-12.228200000000001,-2.1217945,12.410918061941683,-2.9697867638947844,9,-51.9401,247.785,253.387,-750.22,-119.237,206.14,-1,136.182,-211,218.487,Decay,0
4,1,220,4,32,-11.96135,-3.3101555,12.410923545678632,-2.8716117123561786,9,-52.2202,247.742,253.389,-749.966,-120.858,206.127,-1,127.599,-211,423.094,Decay,0
111,1,243,4,55,10.146965,-7.1463149999999995,12.410911199039738,-0.613593366565146,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1139.08,,-9999
88,1,244,4,56,10.7986,-6.117325,12.41093981596982,-0.5154171003048559,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1169.45,,-9999
89,1,245,4,57,11.3462,-5.029425,12.410937525852951,-0.4172428068258714,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1301.96,,-9999
90,1,246,4,58,11.7845,-3.893085,12.410904522524739,-0.3190689262314638,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1195.45,,-9999
91,1,247,4,59,12.10935,-2.719250000000002,12.410909635679408,-0.2208935891598126,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1163.85,,-9999
92,1,248,4,60,12.31755,-1.5192299999999999,12.410886261480282,-0.1227188716276417,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1140.55,,-9999
93,1,249,4,61,12.4072,-0.3045800000000001,12.410937950711059,-0.024543719652394644,-1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,,-9999,1351.52,,-9999
48,1,251,4,63,12.228200000000001,2.1217945,12.410918061941683,0.171805889695009,8,105.429,-382.444,396.106,1154.11,279.61,-893.723,1,160.718,211,49.4933,Decay,0
49,1,252,5,0,13.3469,2.654865,13.608381526773305,0.19634965067437377,8,107.724,-381.886,396.107,1153.28,283.031,-893.712,1,175.516,211,148.303,Decay,0
